臺羅,找著的輕聲詞,辭彙分級內的句子狀況,詞彙分級內的連寫/分寫,備註
--guá,我,,分寫,
--gún,阮,,分寫,
--i,伊,,分寫,
--in,in,,分寫,
--lán,咱,,分寫,
--lâng,人,騙人！ Phiàn --lâng!,分寫,
,,驚人 kiann--lâng,連寫,
,,咬人 kā--lâng ,連寫,
--lí,你,,分寫,
--lín,恁,,分寫,
--siánn,啥,驚啥 kiann --siánn,分寫,
--tsi,之,慎思之 sīn su --tsi,分寫,
--mah,媽,媽媽 ma--mah,連寫,
--meh,妹,妹妹 me--meh,連寫,
--pah,爸,爸爸 pa--pah,連寫,
--tse,姊,姊姊 tse--tse,連寫,
--tseh,姊,姊姊 tse--tseh,連寫,
--tih,弟,弟弟 ti--tih,連寫,
（語料庫沒出現哥哥的詞）,,,,
--ka,家,林家 Lîm--ka,連寫,
--sáng,桑,林桑 Lîm--sáng,連寫,
,sáng,Khóo--sáng,連寫,
--sang,桑,林桑 Lîm--sang,連寫,
--sian,先生,,分寫,
--sia̋n,先生,,分寫,
--á,仔,,連寫,
--tsiá,者,劣者 Lua̍t--tsiá,連寫,
,,庸者 iông --tsiá,分寫,
--ê,的,講的 Kóng--ê,連寫,
,,老的 lāu--ê,連寫,
,,Jih--ê,連寫,
,,甜的 tinn--ê,連寫,
,,鼻著的 phīnn--tio̍h --ê,分寫,
,,遮的,連寫,詞彙化
--lí,裡,田裡 tshân--lí,連寫,
--e,裡,廟裡 biō--e,連寫,
--lōo,路,半路 puànn--lōo,連寫,
--ji̍t,日,後日 āu--ji̍t,連寫,
--sî,時,日時 ji̍t--sî,連寫,
,,日時仔 ji̍t--sî-á,連寫,
--tām,淡薄仔,,分寫,
--tsi,一下,目一下 Ba̍k--tsi̍t-ē,連寫,
,,照顧一下 tsiàu-kòo--tsi̍t-ē,連寫,
--tsi̍t,一下,,分寫,
,一寡,,分寫,
--tsı̍t,一,乾一杯 kan --tsi̍t-pue,分寫,
--kuá,寡,加食寡 ke tsia̍h --kuá,分寫,
--kuí,幾,歇睏幾工仔 hioh-khùn --kuí-kang-á ,分寫,
--khí-lâi,起來,唸起來 liām--khí-lâi,連寫,
,,講起來 kóng --khí-lâi,分寫,
--khí-khì,起去,燒起去 --khí-khì,分寫,
--lâi,來去,轉來去 tńg--lâi-khì,連寫,
--ji̍p,入去,,分寫,
,入來,,分寫,
--kè,過去,斡過去 uat --kè-khì,分寫,
--kuè,過來,,分寫,
,過去,,分寫,
--loh,落去,食落去 tsia̍h --loh-khì,分寫,
--lo̍h,落來,流落來 lâu --lo̍h-lâi,分寫,
,,跳落來 thiàu--lo̍h-lâi,連寫,
--lo̍h,落去,吞落去 thun --lo̍h-khì,分寫,
,,落落去 lak--lo̍h-khì,連寫,
--tńg,轉來,紮轉去 tsah --tńg-khì,分寫,
,轉去,,分寫,
--tshut,出去,賣出去 bē --tshut-khì,分寫,
--tshut,出來,鑽出來 tsǹg --tshut-lâi,分寫,
,,哭出來 Khàu--tshut-lâi,連寫,
--khì,去,冷去,連寫,
,,轉去 tńg--khì,連寫,
,,無去 bô--khì,連寫,
,,走去 tsáu --khì,分寫,
,,死去 sí--khì,連寫,
,,過去 kuè--khì,連寫,
,,割割去 kuah-kuah--khì,連寫,
,,戲弄去 hì-lāng --khì,分寫,
